[INFO]
DATA_FORMAT_VERSION=1.0
CREATOR=tellurium
NUMBER_OF_COLS=3
NUMBER_OF_ROWS=50
COLUMN_HEADERS=time,[S1],[S2]
COMMENTS=

[DATA]
0,0.0001499288094273152,1.702133543466602e-006
0.204082,0.000131672911446784,1.906273254316555e-005
0.408163,0.0001169903584336319,3.044927512377814e-005
0.612245,0.0001042063471267334,4.219361810990258e-005
0.816327,9.45350208759192e-005,5.617083440174846e-005
1.02041,8.225128769334468e-005,6.586612242769786e-005
1.22449,7.633470666741896e-005,7.657011918376637e-005
1.42857,6.415279462711821e-005,8.417097594022202e-005
1.63265,5.944673086152545e-005,8.934456852277164e-005
1.83673,5.275299877008808e-005,9.839944933191272e-005
2.04082,4.685753862827479e-005,0.0001008204569427473
2.2449,4.065130599746211e-005,0.0001080847834776406
2.44898,3.881652758210876e-005,0.0001121684611100428
2.65306,3.298912966125134e-005,0.0001159474609447208
2.85714,3.057579541164962e-005,0.0001200716163979462
3.06122,2.67968661506176e-005,0.0001250489977314222
3.26531,2.366361438674944e-005,0.0001257868405735202
3.46939,2.238253655844469e-005,0.0001292692738353988
3.67347,1.844834441914705e-005,0.000132991964673655
3.87755,1.573028679225748e-005,0.0001324886239904035
4.08163,1.179150167521492e-005,0.0001344224117392103
4.28571,9.964769099189071e-006,0.0001373786274462831
4.4898,1.275337809583814e-005,0.0001365473563577348
4.69388,1.04965398060959e-005,0.0001388586520655774
4.89796,1.205416350513386e-005,0.0001404294587309291
5.10204,9.132290363029353e-006,0.0001423333123801707
5.30612,8.352989006407201e-006,0.0001399032614497872
5.5102,5.62433915908802e-006,0.0001443723219274596
5.71429,5.894743495155264e-006,0.000144232649481713
5.91837,8.629964470639573e-006,0.0001454228186262215
6.12245,8.071405707362016e-006,0.0001456981503743671
6.32653,2.679476785859359e-006,0.0001466528853616922
6.53061,2.013257002847703e-006,0.0001467148062170533
6.73469,5.575813076096534e-006,0.0001464566424875138
6.93878,3.222857905508893e-006,0.0001448927911145861
7.14286,-1.341818461339567e-006,0.0001456361547650327
7.34694,1.816015691104233e-006,0.0001481192528538547
7.55102,1.328341198626377e-006,0.0001480923837252522
7.7551,1.138537371617899e-006,0.0001488963221675475
7.95918,4.066995566724912e-006,0.0001487613410058503
8.16327,2.843144741132697e-006,0.0001478456300363571
8.36735,2.610234049397189e-006,0.0001473119958108776
8.57143,-6.243765910790176e-007,0.0001496123210347866
8.77551,-1.224299568277119e-006,0.0001481388649857429
8.97959,-4.606190099085588e-007,0.0001482931216014244
9.18367,1.784842056546344e-007,0.0001501767575939843
9.38776,1.43085444856374e-006,0.0001485773409006616
9.59184,1.127315429355327e-006,0.0001489490451494339
9.79592,7.27140524446967e-007,0.0001492720932574943
10,8.101532718757871e-007,0.000150803296788144

[WEIGHTS]
1,1.7956e-012,1.7956e-012
1,1.7956e-012,1.7956e-012
1,1.7956e-012,1.7956e-012
1,1.7956e-012,1.7956e-012
1,1.7956e-012,1.7956e-012
1,1.7956e-012,1.7956e-012
1,1.7956e-012,1.7956e-012
1,1.7956e-012,1.7956e-012
1,1.7956e-012,1.7956e-012
1,1.7956e-012,1.7956e-012
1,1.7956e-012,1.7956e-012
1,1.7956e-012,1.7956e-012
1,1.7956e-012,1.7956e-012
1,1.7956e-012,1.7956e-012
1,1.7956e-012,1.7956e-012
1,1.7956e-012,1.7956e-012
1,1.7956e-012,1.7956e-012
1,1.7956e-012,1.7956e-012
1,1.7956e-012,1.7956e-012
1,1.7956e-012,1.7956e-012
1,1.7956e-012,1.7956e-012
1,1.7956e-012,1.7956e-012
1,1.7956e-012,1.7956e-012
1,1.7956e-012,1.7956e-012
1,1.7956e-012,1.7956e-012
1,1.7956e-012,1.7956e-012
1,1.7956e-012,1.7956e-012
1,1.7956e-012,1.7956e-012
1,1.7956e-012,1.7956e-012
1,1.7956e-012,1.7956e-012
1,1.7956e-012,1.7956e-012
1,1.7956e-012,1.7956e-012
1,1.7956e-012,1.7956e-012
1,1.7956e-012,1.7956e-012
1,1.7956e-012,1.7956e-012
1,1.7956e-012,1.7956e-012
1,1.7956e-012,1.7956e-012
1,1.7956e-012,1.7956e-012
1,1.7956e-012,1.7956e-012
1,1.7956e-012,1.7956e-012
1,1.7956e-012,1.7956e-012
1,1.7956e-012,1.7956e-012
1,1.7956e-012,1.7956e-012
1,1.7956e-012,1.7956e-012
1,1.7956e-012,1.7956e-012
1,1.7956e-012,1.7956e-012
1,1.7956e-012,1.7956e-012
1,1.7956e-012,1.7956e-012
1,1.7956e-012,1.7956e-012
1,1.7956e-012,1.7956e-012
