[INFO]
DATA_FORMAT_VERSION=1.0
CREATOR=tellurium
NUMBER_OF_COLS=3
NUMBER_OF_ROWS=512
COLUMN_HEADERS=time,[S1],[S2]
COMMENTS=

[DATA]
0,0.0001527645519199098,-2.733907587843504e-006
0.0195695,0.0001504073891549509,1.685648801234258e-006
0.0391389,0.0001435367471122442,8.664162984938968e-008
0.0587084,0.000141651614584615,6.884174821215742e-006
0.0782779,0.0001382252750807605,9.641289297414281e-006
0.0978474,0.0001351005597317546,1.689163706918646e-005
0.117417,0.0001314011960879075,1.674997133650842e-005
0.136986,0.0001307483744937556,2.08603384915564e-005
0.156556,0.0001300238795669307,2.028711403545058e-005
0.176125,0.000125539683320519,2.544455681850295e-005
0.195695,0.0001279744909774076,3.186619020508689e-005
0.215264,0.0001183028466065859,2.786878439687115e-005
0.234834,0.0001196213784235969,2.903426798156645e-005
0.254403,0.0001119494399805841,3.234920881986277e-005
0.273973,0.0001133750461164695,3.449840093576832e-005
0.293542,0.0001117042245632777,3.535316571485265e-005
0.313112,0.0001154179425863144,4.216745614140104e-005
0.332681,0.000109503950582641,3.831700926922037e-005
0.35225,0.0001053230306158481,4.105747135755158e-005
0.37182,9.877205828617917e-005,4.647076049144982e-005
0.391389,0.0001034108686858147,4.570294643197651e-005
0.410959,0.0001017345342154189,5.239522973643086e-005
0.430528,8.922474170014276e-005,5.346181189112971e-005
0.450098,9.652343986194556e-005,5.053600101814465e-005
0.469667,9.686584661867573e-005,5.247036404295268e-005
0.489237,9.594339256756987e-005,5.3054083342701e-005
0.508806,9.01098230855124e-005,6.099148942210151e-005
0.528376,9.168022489744205e-005,6.486806673432858e-005
0.547945,8.879720246807641e-005,6.368676994825218e-005
0.567515,8.994634724573099e-005,6.312513904829912e-005
0.587084,8.312375315893456e-005,6.662995015075941e-005
0.606654,8.718051088320025e-005,7.347347934493006e-005
0.626223,7.988304288119276e-005,6.895644906956691e-005
0.645793,7.393898843463591e-005,7.251052918094128e-005
0.665362,7.312517785258727e-005,7.525468325817592e-005
0.684932,7.878690498239158e-005,6.79092377566371e-005
0.704501,7.544429941370949e-005,7.769858664627058e-005
0.72407,7.337046741396452e-005,8.076746034987619e-005
0.74364,7.285094915547225e-005,7.464772074063027e-005
0.763209,7.086403532018392e-005,7.818378108085171e-005
0.782779,6.675018114838745e-005,8.272371440686754e-005
0.802348,7.169037577977833e-005,8.290010926106647e-005
0.821918,6.734614934114392e-005,8.209099001726405e-005
0.841487,5.976057265789148e-005,8.926108248461117e-005
0.861057,6.451496201101452e-005,9.061195124749441e-005
0.880626,6.365488587701886e-005,9.07603784480683e-005
0.900196,6.068690741913361e-005,8.586177091128642e-005
0.919765,5.577372433187257e-005,9.253275518856992e-005
0.939335,6.247374787517731e-005,8.974238259948733e-005
0.958904,5.525732615672727e-005,8.668832961426193e-005
0.978474,5.445483768184601e-005,9.562342413850466e-005
0.998043,5.617939373420991e-005,9.269566754809863e-005
1.01761,5.398311879587126e-005,0.0001001843695144807
1.03718,5.230921643841977e-005,9.664149712373299e-005
1.05675,5.061501837923797e-005,9.988922577805952e-005
